ID,Name,disableParam_NT,disableParamReserve1,disableParamReserve2,srcR,srcG,srcB,pad1,mapNameId,unknown_0xc,unknown_0x10,unknown_0x11,unknown_0x12,unknown_0x13,unknown_0x14,unknownTextID_1,unknownTextID_2,unknown_0x20,unknown_0x24,
10,Gravesite Plain,1,0,[0|0|0],192,192,192,0,-68000,3276850,0,0,0,0,0,0,0,65471463,65471463
11,Gravesite Plain (Gravesite Plain -> Scadu Altus),1,0,[0|0|0],144,144,144,0,-68000,65471463,1,0,0,0,352,-68000,-69000,3342386,3342386
12,Gravesite Plain (Gravesite Plain -> Rauh Base),1,0,[0|0|0],144,192,144,0,-68000,65471463,1,0,0,0,352,-68000,-69001,3342386,3342386
15,Gravesite Plain,1,0,[0|0|0],0,0,0,0,68000,3276850,0,0,0,0,0,0,0,65471463,65471463
20,Scadu Altus,1,0,[0|0|0],96,96,96,0,-69000,3342387,0,0,0,0,0,0,0,65471463,65471463
22,Scadu Altus (Scadu Altus -> Scaduview),1,0,[0|0|0],176,48,158,0,-69000,65471463,1,0,0,0,530,-69000,-69200,3342387,3342387
23,(Scadu Altus -> Scadu Altus),0,0,[0|0|0],104,104,104,0,0,65471463,1,0,0,0,320,-69000,69000,3342387,3342387
25,Scadu Altus,1,0,[0|0|0],112,112,112,0,69000,3342387,0,0,0,0,0,0,0,65471463,65471463
26,(Scadu Altus -> Scadu Altus),1,0,[0|0|0],128,128,128,0,0,65471463,1,0,0,0,375,69000,-69000,3342387,3342387
30,Rauh Base,1,0,[0|0|0],96,160,96,0,-69001,3342897,0,0,0,0,0,0,0,65471463,65471463
31,Scadu Altus (Rauh Base -> Scadu Altus),0,0,[0|0|0],96,128,96,0,-69000,65471463,1,0,0,0,360,-69001,-69000,3342897,3342387
33,Scadu Altus (Rauh Base -> Ancient Ruins of Rauh),0,0,[0|0|0],48,176,48,0,-69000,65471463,1,0,0,0,360,-69001,-69400,3408433,3407923
35,Rauh Base,0,0,[0|0|0],120,160,120,0,69001,3342387,0,0,0,0,0,0,0,65471463,65471463
36,Scadu Altus (Rauh Base -> Scadu Altus),0,0,[0|0|0],112,160,112,0,-69000,65471463,1,0,0,0,360,69001,-69000,3342387,3342387
50,Cerulean Coast,1,0,[0|0|0],0,0,255,0,-68300,3277361,0,0,0,0,0,0,0,65471463,65471463
51,Cerulean Coast (Cerulean Coast -> Foot of the Jagged Peak),1,0,[0|0|0],128,83,128,0,-68300,65471463,1,0,0,0,70,-68300,-68501,36766257,3276850
52,Cerulean Coast (Cerulean Coast -> Charo's Hidden Grave),0,0,[0|0|0],64,61,192,0,-68300,65471463,1,0,0,0,70,-68300,-68400,36766257,3276850
55,,0,0,[0|0|0],0,0,0,0,0,3276850,0,0,0,0,0,0,0,65471463,65471463
60,Jagged Peak,1,0,[0|0|0],255,0,0,0,-68500,3277360,0,0,0,0,0,0,0,65471463,65471463
65,,0,0,[0|0|0],0,0,0,0,0,3277360,0,0,0,0,0,0,0,65471463,65471463
70,Foot of the Jagged Peak,1,0,[0|0|0],255,128,0,0,-68501,3277360,0,0,0,0,0,0,0,65471463,65471463
75,Cerulean Coast,0,0,[0|0|0],255,201,0,0,68501,3277360,0,0,0,0,0,0,0,65471463,65471463
76,Cerulean Coast (Cerulean Coast -> Gravesite Plain),0,0,[0|0|0],224,197,96,0,68501,65471463,1,0,0,0,352,68501,-68000,3276850,3276850
80,Charo's Hidden Grave,0,0,[0|0|0],0,255,255,0,-68400,3277361,0,0,0,0,0,0,0,65471463,65471463
81,Charo's Hidden Grave (Charo's Hidden Grave -> Gravesite Plain),0,0,[0|0|0],96,224,224,0,-68400,65471463,1,0,0,0,200,-68400,-68000,3276850,3276850
90,Ancient Ruins of Rauh,0,0,[0|0|0],0,255,0,0,-69400,3407924,0,0,0,0,0,0,0,65471463,65471463
95,,0,0,[0|0|0],0,0,0,0,0,3407924,0,0,0,0,0,0,0,65471463,65471463
100,Scaduview,0,0,[0|0|0],255,0,220,0,-69200,3342387,0,0,0,0,0,0,0,65471463,65471463
105,,0,0,[0|0|0],0,0,0,0,0,3342387,0,0,0,0,0,0,0,65471463,65471463
110,Abyssal Woods,1,0,[0|0|0],255,255,0,0,-68600,3276854,0,0,0,0,0,0,0,65471463,65471463
111,Abyssal Woods (Abyssal Woods -> Gravesite Plain),1,0,[0|0|0],224,224,96,0,-68600,65471463,1,0,0,0,65336,-68600,-68000,3276854,3276850
112,Abyssal Woods (Abyssal Woods -> Scadu Altus),1,0,[0|0|0],176,176,48,0,-68600,65471463,1,0,0,0,65336,-68600,-69000,3342390,3342386
113,Abyssal Woods (Abyssal Woods -> Jagged Peak),1,0,[0|0|0],255,64,0,0,-68600,65471463,1,0,0,0,65336,-68600,-68500,36700214,3276850
114,Abyssal Woods (Abyssal Woods -> Foot of the Jagged Peak),1,0,[0|0|0],255,192,0,0,-68600,65471463,1,0,0,0,65336,-68600,-68501,36700214,3276850
115,Abyssal Woods (Abyssal Woods -> Foot of the Jagged Peak),1,0,[0|0|0],255,228,0,0,-68600,65471463,1,0,0,0,65336,-68600,68501,36700214,3276850
116,Abyssal Woods (Abyssal Woods -> Charo's Hidden Grave),1,0,[0|0|0],128,224,96,0,-68600,65471463,1,0,0,0,65336,-68600,-68400,36700214,3276850
117,,1,0,[0|0|0],0,0,0,0,0,3276854,0,0,0,0,0,0,0,65471463,65471463
118,,0,0,[0|0|0],0,0,0,0,0,65471463,0,0,0,0,0,0,0,65471463,65471463
120,Castle Ensis,1,0,[0|0|0],0,127,223,0,-68200,3276850,0,0,0,0,0,0,0,65471463,65471463
121,Castle Ensis,1,0,[0|0|0],0,127,193,0,68200,3276850,0,0,0,0,0,0,0,65471463,65471463
255,,0,0,[0|0|0],0,0,0,0,0,65471463,0,0,0,0,0,0,0,65471463,65471463
