ID,Name,disableParam_NT,disableParamReserve1,disableParamReserve2,srcAreaNo,srcGridXNo,srcGridZNo,pad1,srcPosX,srcPosY,srcPosZ,dstAreaNo,dstGridXNo,dstGridZNo,pad2,dstPosX,dstPosY,dstPosZ,isBasePoint,pad3,pad4,
5,Roundtable Hold -> Unnamed Tile,1,0,[0|0|0],11,10,0,0,-305.653,-20.002,-297.949,60,40,35,0,-341.67,66.16,-47.78,1,0,[0|0|0|0|0|0|0|0|0|0|0]
10,Crumbling Farum Azula -> Greyoll's Dragonbarrow - Bestial Sanctum,1,0,[0|0|0],13,0,0,0,668.01,-873.67,-2509.77,60,51,43,0,-36.71,344.39,0.32,0,0,[0|0|0|0|0|0|0|0|0|0|0]
11,Crumbling Farum Azula -> Greyoll's Dragonbarrow - Bestial Sanctum,1,0,[0|0|0],13,0,0,0,-2509.61,-874.01,-668.01,60,51,43,0,-36.71,344.39,0.32,1,0,[0|0|0|0|0|0|0|0|0|0|0]
12,Subterranean Shunning-Grounds -> Leyndell- Royal Capital,1,0,[0|0|0],35,0,0,0,-184,-88.5,-163,11,0,0,0,-184,-88.5,-163,1,0,[0|0|0|0|0|0|0|0|0|0|0]
14,Leyndell- Ashen Capital -> Stone Platform,1,0,[0|0|0],11,5,0,0,0,0,0,19,0,0,0,0,0,0,1,0,[0|0|0|0|0|0|0|0|0|0|0]
15,Stormveil Castle -> Divine Tower of Limgrave,1,0,[0|0|0],10,0,0,0,0,0,0,34,10,0,0,0,0,0,1,0,[0|0|0|0|0|0|0|0|0|0|0]
16,Isolated Divine Tower -> Unnamed Tile,1,0,[0|0|0],34,15,0,0,4.95,0.02,27.91,60,51,46,0,-16.47,272,-55.32,1,0,[0|0|0|0|0|0|0|0|0|0|0]
17,Crumbling Farum Azula -> Isolated Divine Tower: Overworld,1,0,[0|0|0],13,0,0,0,259.68,83.54,95,34,15,0,0,2467.37,1028.15,-271.47,0,0,[0|0|0|0|0|0|0|0|0|0|0]
18,Miquella's Haligtree -> Consecrated Snowfield - Ordina- Liturgical Town,1,0,[0|0|0],15,0,0,0,0,0,0,60,48,57,0,365.824,626.76,550.648,1,0,[0|0|0|0|0|0|0|0|0|0|0]
100,Stormveil Castle -> Liurnia of the Lakes - Church of Irith,1,0,[0|0|0],10,0,0,0,0,0,0,60,39,39,0,387.383,273.608,-282.331,1,0,[0|0|0|0|0|0|0|0|0|0|0]
